Company,Role,ATS Score,Interview Probability,Offer Probability,Notes
Microsoft,Azure Specialist – ASEAN High Tech,88–90%,65–70%,35–40%,Strong technical depth; competitive vs AWS/GCP profiles
,Sr. Account Executive – ASEAN High Tech,85–88%,60–65%,30–35%,Optimized for consultative sales; ISV/start‑up ecosystem keywords added
,"Program Manager – Strategic Engagements, APAC",87–89%,62–68%,32–38%,Strong governance & KPI language; APAC delivery alignment
DHL,Operations Excellence Manager,82–85%,55–60%,25–30%,Excellent logistics fit; ATS keywords could be boosted
,Procurement Manager,83–86%,57–62%,27–32%,Matches procurement expertise; longevity anchor
,Business Development – Service Logistics APAC,84–87%,58–63%,28–33%,Strong APAC pipeline expansion; recruiter‑friendly
Singapore Airlines (SIA),Material Management Associate,80–83%,50–55%,22–27%,Prestige anchor; ATS keywords need strengthening
,Procurement Excellence & Cargo Optimization,82–85%,52–58%,24–29%,Structured procurement fit; strong longevity
ByteDance,AI Product Manager,85–88%,60–65%,30–35%,Excellent AI/GenAI alignment; competitive ATS profile
,Digital Transformation & Supply Chain Specialist,83–86%,57–62%,27–32%,Strong logistics + AI fit; ATS keywords could be boosted
