Role,Monthly Base Salary,Bonus % Range,Total Monthly Value,Success Probability,Skills & Experience Match
Senior Product Manager – Supply Chain & AI Transformation,SGD 18K–23K,20–30%,~SGD 21.6K–29.9K,75–80%,"Excellent → AI adoption, product lifecycle, KPI ownership, Azure/GenAI"
EY Supply Chain & Operations Manager,SGD 15K–20K,15–25%,~SGD 17.2K–25K,80–85%,"Strong → Consulting mindset, procurement, ops transformation, BD leadership"
Operations Excellence Manager,SGD 12.5K–16.5K,15–20%,~SGD 14.3K–19.8K,80–85%,"Excellent → Fleet systems, OMS, sustainability, QA frameworks"
Procurement Manager,SGD 11.5K–15K,15–20%,~SGD 13.2K–18K,85–90%,"Excellent → 31 years procurement, vendor mgmt, cost control, resilience"
Global Account Manager,SGD 13K–17K,20–25%,~SGD 15.6K–21.2K,70–75%,"Excellent → Global sales, contract negotiations, partnerships"
"Senior Director, Operations",SGD 20K–26K,20–30%,~SGD 24K–33.8K,65–70%,"Strong → Ops leadership, KPI frameworks, transformation, sustainability"
Supply Chain Data Analyst,SGD 8K–11K,10–15%,~SGD 8.8K–12.6K,60–65%,"Moderate → Analytics exposure, but role too junior for your profile"
Automation Engineer,SGD 9K–12K,10–15%,~SGD 9.9K–13.8K,55–60%,"Low → Technical specialist, misaligned with leadership trajectory"
I4.0 Maintenance Specialist,SGD 7K–9K,10–15%,~SGD 7.7K–10.4K,50–55%,"Low → Niche technical role, not aligned with succession goals"
Sustainability Project Manager,SGD 11K–14K,15–20%,~SGD 12.6K–16.8K,65–70%,"Strong → Green logistics, compliance, ROI frameworks"
