Date,Region,Category,Product,Sales_Amount,Units_Sold,Profit_Margin,Customer_Segment
2026-01-01,North America,Electronics,UltraBook Pro,2499,12,0.32,Enterprise
2026-01-02,Europe,Audio,NoiseCancel Headphones,299.5,45,0.48,Consumer
2026-01-03,Asia Pacific,Wearables,Fitness Tracker X,149.99,88,0.55,Consumer
2026-01-04,North America,Electronics,Curved Monitor 4K,699,24,0.38,Small Business
2026-01-05,Latin America,Audio,Wireless Earbuds,129,60,0.5,Consumer
2026-01-06,Europe,Electronics,Mechanical Keyboard,189,34,0.42,Enterprise
2026-01-07,Asia Pacific,Wearables,Smart Watch Series 5,349,52,0.45,Consumer
2026-01-08,North America,Audio,Studio Speaker Bar,499,18,0.4,Small Business
2026-01-09,Europe,Wearables,Fitness Tracker X,149.99,95,0.55,Consumer
2026-01-10,Latin America,Electronics,UltraBook Pro,2499,8,0.32,Enterprise
2026-01-11,Asia Pacific,Electronics,Curved Monitor 4K,699,31,0.38,Small Business
2026-01-12,North America,Wearables,Smart Watch Series 5,349,64,0.45,Consumer
2026-01-13,Europe,Audio,NoiseCancel Headphones,299.5,58,0.48,Consumer
2026-01-14,Asia Pacific,Audio,Wireless Earbuds,129,110,0.5,Consumer
2026-01-15,North America,Electronics,UltraBook Pro,2499,15,0.32,Enterprise
2026-01-16,Europe,Electronics,Curved Monitor 4K,699,29,0.38,Small Business
2026-01-17,Latin America,Wearables,Fitness Tracker X,149.99,70,0.55,Consumer
2026-01-18,Asia Pacific,Electronics,Mechanical Keyboard,189,48,0.42,Enterprise
2026-01-19,North America,Audio,NoiseCancel Headphones,299.5,50,0.48,Consumer
2026-01-20,Europe,Wearables,Smart Watch Series 5,349,72,0.45,Consumer
2026-01-21,Europe,Electronics,UltraBook Pro,356.49,73.96,1,Enterprise
2026-01-22,Latin America,Wearables,UltraBook Pro,356.51,74.87,1,Enterprise
2026-01-23,Latin America,Electronics,UltraBook Pro,372.94,76.09,1.03,Enterprise
2026-01-24,Asia Pacific,Wearables,Fitness Tracker X,391.62,77.78,1.05,Consumer
2026-01-25,Europe,Audio,UltraBook Pro,403.19,78.85,1.09,Small Business
2026-01-26,Latin America,Wearables,UltraBook Pro,405.75,81.34,1.13,Enterprise
2026-01-27,Latin America,Wearables,NoiseCancel Headphones,394.37,79.46,1.12,Small Business
2026-01-28,Asia Pacific,Audio,NoiseCancel Headphones,380.41,80.86,1.1,Small Business
2026-01-29,Latin America,Wearables,Curved Monitor 4K,390.28,80.69,1.14,Consumer
2026-01-30,Latin America,Electronics,UltraBook Pro,386.04,80.56,1.09,Small Business
2026-01-31,North America,Wearables,Wireless Earbuds,406.51,82.05,1.05,Small Business
2026-02-01,Latin America,Wearables,Curved Monitor 4K,396.97,85.13,1.01,Consumer
2026-02-02,Asia Pacific,Wearables,NoiseCancel Headphones,416.86,84.32,1.06,Small Business
2026-02-03,North America,Electronics,Wireless Earbuds,434.17,88.52,1.03,Small Business
2026-02-04,Asia Pacific,Electronics,UltraBook Pro,420.68,89.57,1.08,Consumer
2026-02-05,Asia Pacific,Wearables,Curved Monitor 4K,415.7,93.75,1.04,Enterprise
2026-02-06,Europe,Wearables,Wireless Earbuds,421.47,92.36,1.03,Small Business
2026-02-07,Europe,Wearables,Wireless Earbuds,417.9,92.7,1.07,Enterprise
2026-02-08,Latin America,Electronics,Curved Monitor 4K,410.66,89.44,1.09,Enterprise
2026-02-09,North America,Audio,UltraBook Pro,421.63,92.61,1.11,Consumer
2026-02-10,Asia Pacific,Audio,NoiseCancel Headphones,412.17,93.41,1.11,Small Business
2026-02-11,Europe,Wearables,Wireless Earbuds,397.27,97.39,1.1,Enterprise
2026-02-12,North America,Wearables,Fitness Tracker X,395.37,93.8,1.07,Small Business
2026-02-13,Latin America,Electronics,UltraBook Pro,392.41,90.79,1.05,Small Business
2026-02-14,Europe,Wearables,UltraBook Pro,390.05,86.79,1.01,Small Business
2026-02-15,North America,Electronics,UltraBook Pro,389.95,91,1.02,Consumer
2026-02-16,Europe,Audio,Wireless Earbuds,387.34,94.11,1,Consumer
2026-02-17,Europe,Wearables,NoiseCancel Headphones,388.11,90.4,1.01,Enterprise
2026-02-18,North America,Wearables,Curved Monitor 4K,403.28,92.23,1.02,Consumer
2026-02-19,Latin America,Electronics,UltraBook Pro,402.89,88.4,1.02,Consumer
2026-02-20,Latin America,Wearables,Wireless Earbuds,393.01,92.18,1.06,Enterprise
2026-02-21,Latin America,Wearables,UltraBook Pro,387.66,88.62,1.04,Enterprise
2026-02-22,Europe,Wearables,UltraBook Pro,373.28,91.87,1.04,Enterprise
2026-02-23,Asia Pacific,Wearables,Wireless Earbuds,370.31,90.83,1.03,Consumer
2026-02-24,Latin America,Electronics,NoiseCancel Headphones,368.75,89.63,1.02,Enterprise
2026-02-25,Europe,Wearables,NoiseCancel Headphones,374.25,87.9,1.02,Consumer
2026-02-26,Latin America,Audio,UltraBook Pro,394.4,92.2,1.07,Small Business
2026-02-27,Asia Pacific,Electronics,UltraBook Pro,391.6,89.62,1.04,Small Business
2026-02-28,North America,Wearables,Curved Monitor 4K,391.29,93.94,1.07,Enterprise
2026-03-01,Asia Pacific,Audio,NoiseCancel Headphones,393.52,95.31,1.09,Small Business
2026-03-02,North America,Wearables,Fitness Tracker X,404.52,98.35,1.11,Enterprise
2026-03-03,Latin America,Wearables,UltraBook Pro,413.47,99.5,1.07,Enterprise
2026-03-04,Europe,Audio,Curved Monitor 4K,404.59,99.55,1.09,Consumer
2026-03-05,Latin America,Wearables,Curved Monitor 4K,417.06,98.16,1.11,Small Business
2026-03-06,Asia Pacific,Wearables,Curved Monitor 4K,409.57,95.06,1.12,Consumer
2026-03-07,Asia Pacific,Audio,UltraBook Pro,395.76,95.3,1.14,Enterprise
2026-03-08,Europe,Electronics,Wireless Earbuds,390.09,95.02,1.13,Consumer
2026-03-09,Europe,Wearables,Curved Monitor 4K,380.24,92.76,1.12,Small Business
2026-03-10,Europe,Audio,Fitness Tracker X,395.84,90.59,1.14,Consumer
2026-03-11,Europe,Wearables,Fitness Tracker X,394.58,95.46,1.17,Small Business
2026-03-12,Latin America,Wearables,NoiseCancel Headphones,392.35,92.42,1.13,Enterprise
2026-03-13,Asia Pacific,Wearables,UltraBook Pro,407.45,91.3,1.12,Small Business
2026-03-14,Asia Pacific,Audio,Wireless Earbuds,399.05,93.55,1.14,Consumer
2026-03-15,Europe,Audio,Fitness Tracker X,419.62,94.83,1.12,Small Business
2026-03-16,Latin America,Electronics,Curved Monitor 4K,405.82,91.82,1.1,Small Business
2026-03-17,Europe,Electronics,NoiseCancel Headphones,389.52,95.71,1.15,Small Business
2026-03-18,Latin America,Electronics,Wireless Earbuds,386.5,94.95,1.15,Enterprise
2026-03-19,Asia Pacific,Wearables,NoiseCancel Headphones,378.88,98.02,1.19,Small Business
2026-03-20,Latin America,Electronics,Wireless Earbuds,371.31,101.8,1.18,Enterprise
2026-03-21,North America,Audio,UltraBook Pro,387.14,98.22,1.24,Small Business
2026-03-22,Europe,Electronics,Fitness Tracker X,389.2,98.32,1.26,Consumer
2026-03-23,Latin America,Audio,Curved Monitor 4K,398.75,96.85,1.21,Small Business
2026-03-24,Latin America,Wearables,NoiseCancel Headphones,418.77,99.35,1.17,Enterprise
2026-03-25,Europe,Audio,NoiseCancel Headphones,402.16,98.04,1.16,Small Business
2026-03-26,Latin America,Electronics,Curved Monitor 4K,399.04,102.21,1.17,Small Business
