Role,ATS Alignment,Interview Probability,Offer Probability,Key Recruiter Signals
"Associate, Cabin Crew Control Centre – SIA",82%,65%,45%,"✅ Ops excellence + KPI governance
⚠️ Less direct crew scheduling experience"
Engineering – Material Management Associate (Purchasing) – SIA,91%,78%,62%,"✅ SAP proficiency
⚠️ Shift work requirement"
Travel Systems & Partnerships Lead – Sea,88%,72%,58%,"✅ AI adoption + agentic workflows
⚠️ Less direct travel systems experience"
"Analyst, IT (Business Analysis) – Scoot",86%,70%,55%,"✅ Agile + Scrum Master certification
⚠️ Less direct Scoot IT systems exposure"
Associate Crew Scheduling – SIA,84%,68%,50%,"✅ Fleet optimisation + KPI governance
⚠️ Limited direct aviation scheduling experience"
"Specialist, Sales Planning – Scoot",87%,71%,54%,"✅ Procurement analytics → sales planning
⚠️ Less direct OTA/GDS sales channel experience"
"Cargo – Senior Executive / Assistant Manager, E‑Commerce Logistics (Business Development) – SIA",90%,76%,60%,"✅ Global sales + procurement background
⚠️ Requires direct Parxl product familiarity"
"Specialist, Customer Service – Scoot",83%,67%,48%,"✅ Vendor management + KPI governance
⚠️ Less direct social media/live chat experience"
Digital Adoption Manager – Scoot,92%,80%,65%,"✅ AI adoption + digital transformation
⚠️ Requires direct experimentation/MVP track record"
Passenger Relations Officer – SIA,80%,64%,46%,"✅ Customer service + multilingual
⚠️ Less direct lounge/VIP handling experience"
"Procurement – Associate / Senior Associate, Procurement Services & Technology – SIA",93%,82%,68%,"✅ SAP Material Mgmt
⚠️ Transaction‑heavy shared services environment"
"Associate, Revenue Accounting Projects – SIA",85%,69%,52%,"✅ UAT + regression testing
⚠️ Less direct finance/accounting background"
Maintenance Controller – SIA,78%,61%,42%,"✅ Ops resilience + disruption handling
⚠️ Requires Licensed Aircraft Engineer credential"
"Specialist II, Marketing (Market Development) – Scoot",89%,74%,57%,"✅ Market insights + KPI governance
⚠️ Less direct China media landscape experience"
"Senior Manager, PMO (Global Procurement) – SATS Ltd.",94%,83%,70%,"✅ Procurement transformation + ops excellence
⚠️ Requires FMCG/food procurement exposure"
"Senior Manager, Procurement Supplier Performance Management – SATS Ltd.",95%,85%,72%,"✅ Supplier mgmt + KPI governance
⚠️ Prefers FMCG/retail procurement exposure"
Business Development Manager – SITA,91%,79%,63%,"✅ Global sales + procurement background
⚠️ Requires ATI/CCM product familiarity"
Business Development Manager – Air New Zealand,92%,81%,66%,"✅ Global sales + procurement background
⚠️ Requires direct airline/travel BD familiarity"
"Manager / Senior Manager, New Product Development, Discovery (Gateway Services) – SATS Ltd.",93%,82%,69%,"✅ Product innovation + logistics operations
⚠️ Requires direct cargo/ground handling product validation experience"
"Manager / Senior Manager, Continuous Improvement, Operational Excellence – SATS Ltd.",96%,87%,74%,"✅ Lean Six Sigma + KPI governance
⚠️ Prefers aviation/food ops exposure"
"Accountant / Senior Accountant, Payments (2‑Year Contract) – SIA",88%,73%,56%,"✅ Finance ops + compliance
⚠️ Requires direct accounting qualification emphasis"
"Specialist I, Sales – Scoot","86% (Strong match – sales analytics, stakeholder mgmt, KPI governance)","70% (solid fit – ATS flagged green, commercial agility)","53% (competitive, but transferable strengths)","✅ Green AI match
✅ Procurement analytics → sales insights
✅ Stakeholder mgmt + KPI governance
⚠️ Less direct OTA/GDS channel sales experience"
